"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23309.0205195563","25020.5071656845","25661.3190060198","26529.2339559483","27714.7166064816","27707.4342303419","27562.4596678167","29222.894893298","29509.8765861512","29718.169823562","32031.5554270993","31062.3492934753","29847.9283529006","30355.732380247","33053.2465349766","34050.4715781236","35167.1663623142","36621.0351286655","37249.4504595791","33552.8898221987","32624.2090942429","34326.1448226739","33569.1865005073","36477.7793887055","36444.2620573183","36765.1160710175","37359.3734383699","38442.4138382323","","","",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","877.014423503263","927.857547917432","925.441616196776","1023.05162974192","1077.76190658441","1228.70413531195","1272.57320417194","1519.69254818311","1710.57564538432","1699.48799733991","1914.77435127371","2015.51496204541","2069.42464180385","2087.30532306683","1981.11246948904","2058.3838315796","2083.32189722387","2156.41948202725","",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3281.3135735087","3313.88875788553","3088.53249989352","2326.64530296358","2331.70491551546","2651.02028294565","2968.24368662168","3136.51670801063","3215.10540973782","3226.12854878707","3289.41035208343","3389.19696673566","3785.15053816335","3838.79462877094","4225.46635014197","4837.7103248494","5362.02090732509","6050.60968618101","6607.29224335356","6470.6735199461","6587.98722101771","6710.75034592031","7412.96526317885","7682.47715828865","8179.29600657648","7337.56955890673","7103.22593805788","7310.90173803536","7102.40588709233","6965.51137380329","",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2548.8754392216","1908.66655246981","1822.8802993158","2056.96740173675","2289.33640154647","2665.14006533787","2979.36777715757","2716.72518776619","3021.00727264605","3471.65486432089","3862.27205020377","4301.3641662172","4661.36720669305","4994.58547370098","5422.80295242047","5865.32480335253","6558.63893359311","7275.80430116483","8228.33660934276","8821.51266402369","9635.18333221744","10207.7694356273","10526.2950176329","10570.9771804821","11259.2462059653","11661.9768725943","12002.9318987545","13037.0100155002","13833.9816028337","14496.1276828726","",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6852.38572128433","7419.88603660229","7821.75150255632","8018.67013110438","8212.71415656814","8346.67232803699","8683.55542394777","8997.78402035568","9399.25291332251","9521.95305642035","10042.33137773","10208.5500068258","10199.8240641913","10659.4360115011","11685.5596450679","12443.3667474241","13291.4468161057","13917.1809952569","14659.5029274193","14525.2586878481","15031.0747959473","15510.6422451627","16550.160246697","16507.2745080259","16219.840282164","14618.6539486241","14025.8656077573","14562.3679656968","14985.3528900946","15256.3767201114","",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87226.539265433","85847.3220068388","85624.905810123","83847.7035377422","86706.2982363196","89724.4893268496","91943.1373649848","96179.9722131052","92627.8658909762","91710.3909498003","98363.731313815","96722.5963740878","95549.9701826708","99238.3363410692","101871.509406171","97669.9936042722","95678.2816433118","87101.6830876905","79730.9491122889","68166.4444111404","64881.8564596473","67686.3929453288","69102.4912887174","70374.2200605325","73619.1005840251","64901.8520246431","63968.853871334","67183.6265568253","68599.6181782301","70089.3240378269","",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7195.69144362769","8005.4655573034","8719.10168201752","9532.88869650178","10175.1251213101","9969.60059832634","10586.1105734027","11507.8983190072","11949.4160090803","11581.8905138092","11618.7960699385","11226.8773364026","10052.4866557189","11025.1855197998","12214.7400768279","13568.7667646161","14951.7281897097","16570.0111738898","17404.0687077926","16334.7400065189","18061.9343588337","19322.2271236942","19641.3528638347","20131.6804246983","19683.7715056442","20105.1989918165","20307.870052142","23597.1177528578","23313.8179401811","23040.2879526544","",
"Armenia","ARM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2773.93765687774","2555.99582410779","1549.08496460205","1480.51515513128","1632.34287915359","1818.28694777502","1990.57789647875","2115.61164169899","2313.62077009594","2439.91117343673","2658.34951796364","2995.90786329454","3463.98378009445","4043.66310083902","4614.8621143271","5455.42218549941","6411.80663579136","7551.63591039782","8300.48342402442","7233.04493715393","7506.30886457323","8025.45290497468","9364.40776670097","9835.83301127565","10036.8898405952","9969.68530070715","10704.2334081494","12115.0570089389","13024.6948100321","14257.9624870448","",
"American Samoa","ASM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11595.0978094185","12085.9576158363","12290.4607905788","12982.954527947","13845.1695954087","13230.6158565053","14055.0559097486","14757.7417252409","15305.45969936","15789.4351993096","16841.1274496447","16173.3262213363","16368.3620576635","17461.3055159453","18720.9337875466","20268.944550699","23183.4838103893","25614.4609889457","25689.7869778499","22434.6178051993","20611.914070407","20347.1845441703","19597.5903185238","18796.3939521053","19039.0045029811","18912.3174809176","19918.7906300797","19840.0761229321","21630.1795148993","22879.7660938046","",
"Australia","AUS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17332.5484532751","17784.6570422526","18177.1922756168","19119.1723375272","20051.5093639139","20878.6635099155","21957.4016367586","22924.9150145466","24172.6781021459","25264.3643562136","26318.4162072948","27356.5320619959","28718.241079556","29732.129600229","31299.8495244667","32575.0692539649","34290.5244809896","36546.4731913052","37459.307649507","40301.9577592293","39301.602648302","41965.3584189919","42826.789579996","45902.047948361","46880.2206571585","46276.1506853863","47349.9279542726","48870.5882865827","50999.9883621907","53469.0650048659","",
